School Board,Number of Active Cases on 2021-03-29
Conseil scolaire Viamonde,27
Conseil scolaire catholique MonAvenir,25
Conseil scolaire de district catholique du Centre-Est de l'Ontario,62
Dufferin-Peel Catholic District School Board,98
Durham District School Board,101
Halton Catholic District School Board,27
Halton District School Board,56
Hamilton-Wentworth Catholic District School Board,35
Hamilton-Wentworth District School Board,96
Lambton Kent District School Board,77
Ottawa Catholic School Board,44
Ottawa-Carleton District School Board,80
Peel District School Board,179
Simcoe County District School Board,33
Simcoe Muskoka Catholic District School Board,29
Toronto Catholic District School Board,196
Toronto District School Board,419
Waterloo Region District School Board,44
York Catholic District School Board,42
York Region District School Board,121
